"id";"name_away_team";"away_team_score";"id_away_team";"id_local_team";"name_local_team";"local_team_score";"match_day";"round";"stadium";"status"
97;"Monterrey";0;8;4;"Cruz Azul";0;"2019-09-25 21:00:00";11;"Estadio Azteca";""
98;"Morelia";0;9;16;"Tijuana";0;"2019-09-25 21:06:00";11;"Estadio Caliente";""
99;"Atlético San Luis";0;3;17;"Toluca";0;"2019-09-26 20:00:00";11;"Estadio Nemesio Diez";""
100;"Leon";0;7;12;"Puebla";0;"2019-09-27 19:00:00";12;"Estadio Cuauhtémoc";""
101;"Querétaro";0;14;2;"Atlas";0;"2019-09-27 21:00:00";12;"Estadio Jalisco";""
102;"Cruz Azul";0;4;11;"Pachuca";0;"2019-09-28 17:00:00";12;"Estadio Hidalgo";""
103;"FC Juárez";0;5;10;"Necaxa";0;"2019-09-28 19:00:00";12;"Estadio Victoria";""
104;"UANL";0;18;8;"Monterrey";0;"2019-09-28 19:06:00";12;"Estadio BBVA";""
105;"Guadalajara";0;6;1;"América";0;"2019-09-28 21:00:00";12;"Estadio Azteca";""
106;"Santos Laguna";0;15;13;"Pumas";0;"2019-09-29 12:00:00";12;"Estadio Olímpico Universitario";""
107;"Tijuana";0;16;3;"Atlético San Luis";0;"2019-09-29 17:00:00";12;"Estadio Alfonso Lastras";""
108;"Toluca";0;17;19;"Veracruz";0;"2019-09-29 19:00:00";12;"Estadio Luis Pirata Fuente";""
109;"Necaxa";0;10;9;"Morelia";0;"2019-10-04 21:00:00";13;"Estadio José Maria Morelos y Pavón";""
110;"Atlas";0;2;16;"Tijuana";0;"2019-10-04 21:06:00";13;"Estadio Caliente";""
111;"Veracruz";0;19;7;"Leon";0;"2019-10-05 17:00:00";13;"Estadio Nou Camp";""
112;"América";0;1;4;"Cruz Azul";0;"2019-10-05 19:00:00";13;"Estadio Azteca";""
113;"Santos Laguna";0;15;18;"UANL";0;"2019-10-05 21:00:00";13;"Estadio Universitario";""
114;"Pumas";0;13;6;"Guadalajara";0;"2019-10-05 21:00:00";13;"Estadio Akron";""
115;"Puebla";0;12;17;"Toluca";0;"2019-10-06 12:00:00";13;"Estadio Nemesio Diez";""
116;"Atlético San Luis";0;3;5;"FC Juárez";0;"2019-10-06 19:00:00";13;"Estadio Benito Juárez";""
117;"Monterrey";0;8;14;"Querétaro";0;"2019-10-06 20:00:00";13;"Estadio La Corregidora";""
118;"Atlas";0;2;12;"Puebla";0;"2019-10-18 19:00:00";14;"Estadio Cuauhtémoc";""
119;"UANL";0;18;19;"Veracruz";0;"2019-10-18 21:00:00";14;"Estadio Luis Pirata Fuente";""
120;"Tijuana";0;16;15;"Santos Laguna    ";0;"2019-10-18 21:00:00";14;"Estadio TSM Corona";""
121;"Morelia";0;9;4;"Cruz Azul";0;"2019-10-19 17:00:00";14;"Estadio Azteca";""
122;"FC Juárez";0;5;11;"Pachuca";0;"2019-10-19 19:00:00";14;"Estadio Hidalgo";""
123;"América";0;1;10;"Necaxa";0;"2019-10-19 21:00:00";14;"Estadio Victoria";""
124;"Leon";0;7;13;"Pumas";0;"2019-10-20 12:00:00";14;"Estadio Olímpico Universitario";""
125;"Querétaro";0;14;3;"Atlético San Luis";0;"2019-10-20 17:00:00";14;"Estadio Alfonso Lastras";""
126;"Guadalajara";0;6;8;"Monterrey";0;"2019-10-20 18:50:00";14;"Estadio BBVA";""
127;"Santos Laguna";0;15;9;"Morelia";0;"2019-10-25 19:00:00";15;"Estadio José Maria Morelos y Pavón";""
128;"Necaxa";0;10;2;"Atlas";0;"2019-10-25 21:00:00";15;"Estadio Jalisco";""
129;"Veracruz";0;19;16;"Tijuana";0;"2019-10-25 21:06:00";15;"Estadio Caliente";""
130;"Pumas";0;13;14;"Querétaro";0;"2019-10-26 17:00:00";15;"Estadio La Corregidora";""
131;"Puebla";0;12;1;"América";0;"2019-10-26 19:00:00";15;"Estadio Azteca";""
132;"Atlético San Luis";0;3;7;"Leon";0;"2019-10-26 19:00:00";15;"Estadio Nou Camp";""
133;"Cruz Azul";0;4;18;"UANL";0;"2019-10-26 21:00:00";15;"Estadio Universitario";""
134;"Pachuca";0;11;17;"Toluca";0;"2019-10-27 12:00:00";15;"Estadio Nemesio Diez";""
